JQ943661.1 |Influenza B virus (B/Ontario/0345100/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2011-04-23
JQ943662.1 |Influenza B virus (B/Ontario/0305509/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2011-04-10
KC478990.1 |Influenza B virus (B/Ontario/0198297/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-28
KC479002.1 |Influenza B virus (B/Ontario/0182047/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-21
KC478998.1 |Influenza B virus (B/Ontario/0157913/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-18
KC478989.1 |Influenza B virus (B/Ontario/0151142/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-15
KC479001.1 |Influenza B virus (B/Ontario/0151068/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-14
KC478999.1 |Influenza B virus (B/Ontario/0134209/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-09
KC478987.1 |Influenza B virus (B/Ontario/0125852/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-03-02
KC478986.1 |Influenza B virus (B/Ontario/0125851/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-04
KC478988.1 |Influenza B virus (B/Ontario/0113630/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-03-02
JQ943664.1 |Influenza B virus (B/Ontario/0100744/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2012-01-31
KC478983.1 |Influenza B virus (B/Ontario/0096820/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-01-29
JQ943659.1 |Influenza B virus (B/Ontario/0077145/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2011-04-21
JQ943657.1 |Influenza B virus (B/Ontario/0075502/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2011-03-07
JN601140.1 |Influenza B virus (B/Ontario/006876/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2011-09-04|2011-04-10
KC478991.1 |Influenza B virus (B/Ontario/0058337/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02
KC478995.1 |Influenza B virus (B/Ontario/0045505/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-23
KC479005.1 |Influenza B virus (B/Ontario/0040195/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-03-15
KC479004.1 |Influenza B virus (B/Ontario/0040194/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-03-15
KC479003.1 |Influenza B virus (B/Ontario/0040130/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-03-12
KC478997.1 |Influenza B virus (B/Ontario/0020731/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-25
KC478996.1 |Influenza B virus (B/Ontario/0020252/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-09
KC479008.1 |Influenza B virus (B/Ontario/0010724/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-03-20
JQ943665.1 |Influenza B virus (B/Ontario/0010628/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2012-03-12
KC479000.1 |Influenza B virus (B/Ontario/0010605/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-03-09
KC478984.1 |Influenza B virus (B/Ontario/0010353/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-10
JQ943663.1 |Influenza B virus (B/Ontario/0010241/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2012-01-28
JQ943656.1 |Influenza B virus (B/Ontario/0009330/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2011-03-03
JQ943658.1 |Influenza B virus (B/Ontario/0006871/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2011-04-03
